Close,High,Low,Open,Volume
NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS
274.1700134277344,274.3500061035156,274.1700134277344,274.3500061035156,20618
274.1600036621094,274.30999755859375,274.1600036621094,274.30999755859375,46138
274.25,274.260009765625,274.1099853515625,274.1099853515625,25021
274.3500061035156,274.3500061035156,274.20001220703125,274.25,11684
274.44000244140625,274.44000244140625,274.29998779296875,274.3599853515625,15869
274.4700012207031,274.5,274.44000244140625,274.44000244140625,8225
274.29998779296875,274.489990234375,274.29998779296875,274.489990234375,64123
274.2099914550781,274.25,274.2099914550781,274.25,8795
274.25,274.25,274.2200012207031,274.25,5300
274.42999267578125,274.4599914550781,274.2300109863281,274.2300109863281,14564
274.4100036621094,274.45001220703125,274.3500061035156,274.42999267578125,11348
274.3999938964844,274.4100036621094,274.32000732421875,274.4100036621094,7425
274.3900146484375,274.3999938964844,274.3900146484375,274.3999938964844,10412
274.3999938964844,274.3999938964844,274.3500061035156,274.3999938964844,33367
274.3999938964844,274.3999938964844,274.32000732421875,274.3999938964844,23839
274.3999938964844,274.4200134277344,274.30999755859375,274.3999938964844,8919
274.489990234375,274.5,274.4200134277344,274.4200134277344,7276
274.489990234375,274.489990234375,274.45001220703125,274.489990234375,5302
274.3999938964844,274.489990234375,274.2799987792969,274.4700012207031,13098
274.3900146484375,274.4700012207031,274.3900146484375,274.3999938964844,13806
274.29998779296875,274.3800048828125,274.2799987792969,274.3800048828125,5044
274.29998779296875,274.45001220703125,274.29998779296875,274.29998779296875,8812
274.45001220703125,274.4800109863281,274.3500061035156,274.3999938964844,12251
274.3599853515625,274.3999938964844,274.29998779296875,274.3299865722656,6380
274.0299987792969,274.32000732421875,274.0299987792969,274.32000732421875,37888
274.0,274.0799865722656,273.75,273.8800048828125,84046
274.17999267578125,274.19000244140625,274.0,274.0,113196
274.04998779296875,274.1600036621094,274.0,274.1600036621094,0
274.1400146484375,274.1700134277344,274.1099853515625,274.1300048828125,22085
274.1400146484375,274.1499938964844,274.04998779296875,274.1300048828125,2386
274.0899963378906,274.1499938964844,273.9599914550781,274.1499938964844,19356
274.0,274.0899963378906,274.0,274.0799865722656,9626
273.70001220703125,274.010009765625,273.70001220703125,274.010009765625,24361
273.79998779296875,273.8500061035156,273.6600036621094,273.6700134277344,67132
273.7799987792969,273.7900085449219,273.70001220703125,273.7900085449219,12148
273.8800048828125,273.8800048828125,273.760009765625,273.7799987792969,6971
273.79998779296875,273.92999267578125,273.7099914550781,273.8900146484375,15869
273.75,273.82000732421875,273.70001220703125,273.7900085449219,9375
