strategy,trades,wins,losses,win_rate_pct,total_pnl,timeframe,data_start,data_end,run_at_utc
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:30:02
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:30:02
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:30:02
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:45:05
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:45:05
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:45:05
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:45:05
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:00:04
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:00:04
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:00:04
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:00:04
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:15:05
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:15:05
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:15:05
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:15:05
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:30:03
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:30:03
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:30:03
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:30:03
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:45:13
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:45:13
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:45:13
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 06:45:13
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:00:05
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:00:05
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:00:05
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:00:05
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:15:05
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:15:05
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:15:05
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:15:05
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:30:13
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:30:13
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:30:13
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:30:13
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:45:04
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:45:04
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:45:04
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 07:45:04
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 08:00:04
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 08:00:04
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 08:00:04
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 08:00:04
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 08:15:03
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 08:15:03
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 08:15:03
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 08:15:03
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 08:30:04
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 08:30:04
